spellId	recipeItemId	name	sourceKind	npcName	zone	faction	worldDrop	notes
	16246	Formula: Enchant Bracer - Superior Strength	drop	Deadwind Warlock	Blasted Lands			foreverchanges, letto da ?
	16251	Formula: Enchant Bracer - Superior Stamina	drop	Nathanos Blightcaller | Demetria | Lady Hederine	Eastern Plaguelands | Eastern Plaguelands | Winterspring			foreverchanges, letto da ?
	16252	Formula: Enchant Weapon - Crusader	drop	Scarlet Spellbinder	Western Plaguelands			foreverchanges, letto da ?
	16253	Formula: Enchant Chest - Greater Stats	drop	Hive'Regal Hive Lord	Silithus			foreverchanges, letto da ?
	19444	Formula: Enchant Weapon - Strength	vendor	Lokhtos Darkbargainer	Blackrock Depths			foreverchanges, letto da ?
	19445	Formula: Enchant Weapon - Agility	vendor	Meilosh	Felwood			foreverchanges, letto da ?
	19446	Formula: Enchant Bracer - Mana Regeneration	vendor	Quartermaster Miranda Breechlock | Argent Quartermaster Hasana | Argent Quartermaster Lightspark	Eastern Plaguelands | Tirisfal Glades | Western Plaguelands			foreverchanges, letto da ?
	19447	Formula: Enchant Bracer - Healing	vendor	Quartermaster Miranda Breechlock | Argent Quartermaster Hasana | Argent Quartermaster Lightspark	Eastern Plaguelands | Tirisfal Glades | Western Plaguelands			foreverchanges, letto da ?
	19448	Formula: Enchant Weapon - Mighty Spirit	vendor	Lokhtos Darkbargainer	Blackrock Depths			foreverchanges, letto da ?
	19449	Formula: Enchant Weapon - Mighty Intellect	vendor	Lokhtos Darkbargainer	Blackrock Depths			foreverchanges, letto da ?
	20732	Formula: Enchant Cloak - Greater Fire Resistance	vendor	Kania	Silithus			foreverchanges, letto da ?
	20733	Formula: Enchant Cloak - Greater Nature Resistance	vendor	Kania	Silithus			foreverchanges, letto da ?
	22392	Formula: Enchant 2H Weapon - Agility	vendor	Meilosh	Felwood			foreverchanges, letto da ?
	249474	Formula: Enchant Bracer - Minor Intellect	drop	Vile Fin Tidehunter	Silverpine Forest			foreverchanges, letto da wowhead
	249479	Formula: Enchant Weapon - Insight	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249480	Formula: Enchant Weapon - Recovery	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249481	Formula: Enchant Weapon - Revelation	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249486	Formula: Enchant Bracer - Lesser Agility	vendor	Gorhak	Desolace			foreverchanges, letto da wowhead
	249489	Formula: Enchant Bracer - Lesser Healing Power	vendor	Gorhak	Desolace			foreverchanges, letto da wowhead
	249496	Formula: Enchant Necklace - Strength	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249502	Formula: Enchant Necklace - Spell Power	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249503	Formula: Enchant Necklace - Healing Power	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249504	Formula: Enchant Necklace - Agility	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249505	Formula: Enchant Necklace - Deflection	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249510	Formula: Enchant Chest - Absorption	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249525	Formula: Enchant 2H Weapon - Mighty Spell Power	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249526	Formula: Enchant 2H Weapon - Mighty Healing Power	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249534	Formula: Enchant Gloves - Arcane Power	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249535	Formula: Enchant Gloves - Natural Power	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249536	Formula: Enchant Gloves - Holy Power	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249538	Formula: Enchant Bracer - Superior Intellect	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	249539	Formula: Enchant Bracer - Superior Deflection	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	274393	Formula: Enchant Off-Hand - Wisdom	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	274394	Formula: Enchant 2H Weapon - Spellblasting	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	274398	Formula: Enchant Gloves - Superior Strength	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	274399	Formula: Enchant Cloak - Agility	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	274401	Formula: Enchant Bracer - Greater Spellpower	vendor	Alynsia | Beneris	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
	6342	Formula: Enchant Chest - Minor Intellect	vendor	Vaean | Tilli Thistlefuzz | Kithas	Darnassus | Dun Morogh | Orgrimmar	alliance | alliance | horde		foreverchanges, letto da ?
	6344	Formula: Enchant Bracer - Minor Spirit	drop	Mugglefin | Apothecary Berard | Brokespear	Ashenvale | Silverpine Forest | The Barrens			foreverchanges, letto da ?
	6346	Formula: Enchant Chest - Lesser Intellect	vendor	Kithas | Lilly	Orgrimmar | Silverpine Forest	horde | horde		foreverchanges, letto da ?
	6347	Formula: Enchant Bracer - Minor Strength	drop	Wild Buck | Cannoneer Whessan | Captain Flat Tusk	Ashenvale | The Barrens | Durotar			foreverchanges, letto da ?
	6348	Formula: Enchant Weapon - Minor Beastslayer	drop	Takk the Leaper | Firecaller Radison | Barrens Kodo	The Barrens | Darkshore | The Barrens			foreverchanges, letto da ?
	6349	Formula: Enchant 2H Weapon - Lesser Intellect	vendor	Tilli Thistlefuzz | Kithas | Leo Sarn	Dun Morogh | Orgrimmar | Silverpine Forest	alliance | horde | horde		foreverchanges, letto da ?
	6375	Formula: Enchant Bracer - Lesser Spirit	drop	Azzere the Skyblade | Gatekeeper Kordurus | Gradok	The Barrens | Stonetalon Mountains | Loch Modan			foreverchanges, letto da ?
	6377	Formula: Enchant Boots - Minor Agility	vendor	Zixil | Nata Dawnstrider	Hillsbrad Foothills | Thunder Bluff	 | horde		foreverchanges, letto da ?
10005	7993	Plans: Dazzling Mithril Rapier	drop	Hazzali Stinger | Slave Master Blackheart | Mezzir the Howler	Tanaris | Searing Gorge | Winterspring			foreverchanges, letto da classic
10009	8028	Plans: Runed Mithril Hammer	drop	Highlord Mastrogonde | Centipaar Worker | Angerclaw Mauler	Searing Gorge | Tanaris | Felwood			foreverchanges, letto da classic
10013	8030	Plans: Ebon Shiv	vendor	Magnus Frostwake	Western Plaguelands			foreverchanges, letto da classic
10490	8384	Pattern: Comfortable Leather Hat	drop	Dark Iron Shadowcaster | Bloodfen Raptor | Bloodsail Elder Magus	Arathi Highlands | Dustwallow Marsh | Stranglethorn Vale			foreverchanges, letto da classic
10509	8385	Pattern: Turtle Scale Gloves	vendor	Jangdor Swiftstrider | Pratt McGrubben	Feralas | Feralas	horde | alliance		foreverchanges, letto da classic
10516	8409	Pattern: Nightscape Shoulders	vendor	Jangdor Swiftstrider | Nioma	Feralas | The Hinterlands	horde | alliance		foreverchanges, letto da classic
10520	8386	Pattern: Big Voodoo Robe	drop	Caretaker Weston | Bubbling Swamp Ooze | Elder Murk Thresher	Arathi Highlands | Dustwallow Marsh | Dustwallow Marsh			foreverchanges, letto da classic
10525	8395	Pattern: Tough Scorpid Breastplate	drop	Wastewander Bandit	Tanaris			foreverchanges, letto da classic
10529	8403	Pattern: Wild Leather Shoulders	quest			alliance		foreverchanges, letto da classic
10531	8387	Pattern: Big Voodoo Mask	drop	Razortalon | Glommus | Mug'thol	The Hinterlands | Alterac Mountains | Alterac Mountains			foreverchanges, letto da classic
10533	8397	Pattern: Tough Scorpid Bracers	drop	Wastewander Shadow Mage	Tanaris			foreverchanges, letto da classic
10542	8398	Pattern: Tough Scorpid Gloves	drop	Wastewander Thief	Tanaris			foreverchanges, letto da classic
10544	8404	Pattern: Wild Leather Vest	quest			horde		foreverchanges, letto da classic
10546	8405	Pattern: Wild Leather Helmet	quest			alliance		foreverchanges, letto da classic
10554	8399	Pattern: Tough Scorpid Boots	drop	Wastewander Rogue	Tanaris			foreverchanges, letto da classic
10560	8389	Pattern: Big Voodoo Pants	drop	Bloodroar the Stalker | Omgorn the Lost | Wave Strider	Feralas | Tanaris | Feralas			foreverchanges, letto da classic
10562	8390	Pattern: Big Voodoo Cloak	drop	Jin'Zallah the Sandbringer | Death Cultist | Jade Sludge	Tanaris | Eastern Plaguelands | The Hinterlands			foreverchanges, letto da classic
10564	8400	Pattern: Tough Scorpid Shoulders	drop	Wastewander Assassin | Andre Firebeard	Tanaris | Tanaris			foreverchanges, letto da classic
10566	8406	Pattern: Wild Leather Boots	quest			alliance		foreverchanges, letto da classic
10568	8401	Pattern: Tough Scorpid Leggings	drop	Wastewander Rogue	Tanaris			foreverchanges, letto da classic
10570	8402	Pattern: Tough Scorpid Helm	drop	Wastewander Assassin | Andre Firebeard	Tanaris | Tanaris			foreverchanges, letto da classic
10572	8407	Pattern: Wild Leather Leggings	quest			alliance		foreverchanges, letto da classic
10574	8408	Pattern: Wild Leather Cloak	quest			horde		foreverchanges, letto da classic
10840	16113	Manual: Mageweave Bandage	vendor	Deneb Walker | Balai Lok'Wein	Arathi Highlands | Dustwallow Marsh	alliance | horde		foreverchanges, letto da classic
11453	9293	Recipe: Magic Resistance Potion	drop	Brutus | Anathemus | Coast Crawl Snapclaw	Stranglethorn Vale | Badlands | Feralas			foreverchanges, letto da classic
11458	9294	Recipe: Wildvine Potion	drop	Zalas Witherbark | Mith'rethis the Enchanter | Yenniku	Arathi Highlands | The Hinterlands | Stranglethorn Vale			foreverchanges, letto da classic
11459	9303	Recipe: Philosopher's Stone	vendor	Alchemist Pestlezugg	Tanaris			foreverchanges, letto da classic
11464	9295	Recipe: Invisibility Potion	drop	Lord Sakrasis | Magister Hawkhelm | Thunderstomp Stegodon	Stranglethorn Vale | Azshara | Un'Goro Crater			foreverchanges, letto da classic
11466	9296	Recipe: Gift of Arthas	drop	Slavering Ghoul | Skeletal Flayer	Western Plaguelands | Western Plaguelands			foreverchanges, letto da classic
11468	9297	Recipe: Draught of Dream Vision	drop	Makrinni Snapclaw | Blood Elf Reclaimer | Bloodpetal Lasher	Azshara | Azshara | Un'Goro Crater			foreverchanges, letto da classic
11472	9298	Recipe: Elixir of Giants	drop	Wave Strider | Hitah'ya the Keeper | Jade Sludge	Feralas | Arathi Highlands | The Hinterlands			foreverchanges, letto da classic
11473	9302	Recipe: Ghost Dye	vendor	Bronk | Logannas	Feralas | Feralas	horde | alliance		foreverchanges, letto da classic
11476	9301	Recipe: Elixir of Shadow Power	vendor	Maria Lumere | Algernon	Stormwind City | Tirisfal Glades	alliance | horde		foreverchanges, letto da classic
11477	9300	Recipe: Potion of Demonslaying	vendor	Nina Lightbrew | Rartar	Blasted Lands | Swamp of Sorrows	alliance | horde		foreverchanges, letto da classic
11479	9304	Recipe: Transmute Iron to Gold	vendor	Alchemist Pestlezugg	Tanaris			foreverchanges, letto da classic
11480	9305	Recipe: Transmute Mithril to Truesilver	vendor	Alchemist Pestlezugg	Tanaris			foreverchanges, letto da classic
11643	9367	Plans: Golden Scale Gauntlets	quest			alliance		foreverchanges, letto da classic
12047	10316	Pattern: Colorful Kilt	drop	Azzere the Skyblade | Klaven Mortwake | Gesharahan	The Barrens | Westfall | The Barrens			foreverchanges, letto da classic
12056	10300	Pattern: Red Mageweave Vest	drop	Anathemus | Highland Thrasher | Otto	Badlands | Arathi Highlands | Arathi Highlands			foreverchanges, letto da classic
12059	10301	Pattern: White Bandit Mask	drop	Molt Thorn | Rock Worm | Shore Strider	Swamp of Sorrows | Desolace | Feralas			foreverchanges, letto da classic
12060	10302	Pattern: Red Mageweave Pants	drop	Caretaker Nevlin | Snarler | Deepstrider Giant	Arathi Highlands | Feralas | Desolace			foreverchanges, letto da classic
12063	254682	Pattern: Stormcloth Gloves	vendor	Gorhak	Desolace			foreverchanges, letto da wowhead
12064	10311	Pattern: Orange Martial Shirt	vendor	Elynna | Mahu	Darnassus | Thunder Bluff	alliance | horde		foreverchanges, letto da classic
12066	10312	Pattern: Red Mageweave Gloves	drop	Warleader Krazzilak | Emerald Ooze | Ambershard Destroyer	Tanaris | The Hinterlands | Desolace			foreverchanges, letto da classic
12075	10314	Pattern: Lavender Mageweave Shirt	vendor	Outfitter Eric | Borya	Dun Morogh | Orgrimmar	alliance | horde		foreverchanges, letto da classic
12078	10315	Pattern: Red Mageweave Shoulders	drop	Caretaker Weston | Nethergarde Riftwatcher | Mojo the Twisted	Arathi Highlands | Blasted Lands | Blasted Lands			foreverchanges, letto da classic
12080	10317	Pattern: Pink Mageweave Shirt	vendor	Outfitter Eric | Borya	Dun Morogh | Orgrimmar	alliance | horde		foreverchanges, letto da classic
12081	10318	Pattern: Admiral's Hat	vendor	Cowardly Crosby	Stranglethorn Vale			foreverchanges, letto da classic
12084	10320	Pattern: Red Mageweave Headband	drop	Grimungous | Deatheye | Gorlash	The Hinterlands | Blasted Lands | Stranglethorn Vale			foreverchanges, letto da classic
12085	10321	Pattern: Tuxedo Shirt	vendor	Outfitter Eric | Millie Gregorian	Dun Morogh | Tirisfal Glades	alliance | horde		foreverchanges, letto da classic
12086	10463	Pattern: Shadoweave Mask	quest					foreverchanges, letto da classic
12089	10323	Pattern: Tuxedo Pants	vendor	Outfitter Eric | Millie Gregorian	Dun Morogh | Tirisfal Glades	alliance | horde		foreverchanges, letto da classic
12091	10325	Pattern: White Wedding Dress	vendor	Alexandra Bolero | Mahu	Stormwind City | Thunder Bluff	alliance | horde		foreverchanges, letto da classic
12093	10326	Pattern: Tuxedo Jacket	vendor	Outfitter Eric | Millie Gregorian	Dun Morogh | Tirisfal Glades	alliance | horde		foreverchanges, letto da classic
12259	10424	Plans: Silvered Bronze Leggings	drop	Vengeful Ancient | Captain Ironhill | General Twinbraid	Stonetalon Mountains | Hillsbrad Foothills | The Barrens			foreverchanges, letto da classic
1244436	255729	Manual: Major Healing Potion	vendor	Pexmit	Mount Hyjal			foreverchanges, letto da wowhead
1249957	249879	Recipe: Peace Tea	drop	Frostmane Seer	Dun Morogh			foreverchanges, letto da wowhead
1249963	249885	Recipe: Venomous Smoothie	vendor	Kalsey Sanden | Aza'bek	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1249964	249886	Recipe: Slimy Smoothie	vendor	Kalsey Sanden | Aza'bek	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1249965	249887	Recipe: Mrrggl Smrrthle	vendor	Kalsey Sanden | Aza'bek	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1249966	249888	Recipe: Calcified Smoothie	vendor	Kalsey Sanden | Aza'bek	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1249967	249889	Recipe: Spicy Smoothie	vendor	Kalsey Sanden | Aza'bek	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1249968	249890	Recipe: Wicked Smoothie	vendor	Kalsey Sanden | Aza'bek	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250156	250187	Recipe: Tasty Raptor Bites	drop	Sunscale Screecher	The Barrens			foreverchanges, letto da wowhead
1250157	250188	Recipe: Breakfast Omelette	drop	Dire Condor	Redridge Mountains			foreverchanges, letto da wowhead
1250777	250364	Recipe: Elixir of Cunning	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250778	250365	Recipe: Elixir of the Phalanx	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250779	250366	Recipe: Minor Cleric's Elixir	drop	Vile Fin Attacker | Murloc Forager | Vile Fin Muckdweller	Tirisfal Glades | Elwynn Forest | Tirisfal Glades			foreverchanges, letto da wowhead
1250780	250367	Recipe: Lesser Cleric's Elixir	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250782	250369	Recipe: Greater Cleric's Elixir	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250784	250371	Recipe: Elixir of Greater Fortitude	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250785	250372	Recipe: Elixir of Wicked Regeneration	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250786	250373	Recipe: Elixir of the Owl	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250787	250374	Recipe: Elixir of Sages	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250788	250375	Recipe: Minor Mageblood Elixir	drop	Young Wendigo	Dun Morogh			foreverchanges, letto da wowhead
1250789	250376	Recipe: Lesser Mageblood Elixir	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250790	250377	Recipe: Greater Mageblood Elixir	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250791	250378	Recipe: Lesser Arcane Elixir	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250792	250379	Recipe: Elixir of Nature Power	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250793	250380	Recipe: Elixir of Minor Spirit	drop	Gnarlpine Gardener | Kul Tiras Sailor	Teldrassil | Durotar			foreverchanges, letto da wowhead
1250794	250381	Recipe: Elixir of Lesser Spirit	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250796	250383	Recipe: Elixir of Greater Spirit	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250797	250384	Recipe: Elixir of the Whale	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250799	250386	Recipe: Elixir of Ferocity	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250800	250387	Recipe: Elixir of the Grizzly	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1250801	250388	Recipe: Elixir of Lesser Intellect	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1251729	250976	Recipe: Minor Spellblasting Potion	drop	Kobold Geomancer	Elwynn Forest			foreverchanges, letto da wowhead
1251730	250977	Recipe: Lesser Spellblasting Potion	drop	Witchwing Windcaller	The Barrens			foreverchanges, letto da wowhead
1251731	250978	Recipe: Spellblasting Potion	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1251732	250979	Recipe: Greater Spellblasting Potion	vendor	Gorhak	Desolace			foreverchanges, letto da wowhead
1251734	250981	Recipe: Major Spellblasting Potion	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1251735	250982	Recipe: Minor Frenzy Potion	drop	Windfury Wind Witch | Bloodfeather Harpy	Mulgore | Teldrassil			foreverchanges, letto da wowhead
1251736	250983	Recipe: Lesser Frenzy Potion	drop	Raging Rot Hide	Silverpine Forest			foreverchanges, letto da wowhead
1251737	250984	Recipe: Frenzy Potion	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1251738	250985	Recipe: Greater Frenzy Potion	vendor	Gorhak	Desolace			foreverchanges, letto da wowhead
1251740	250987	Recipe: Major Frenzy Potion	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1251741	250988	Recipe: Minor Mender's Potion	drop	Gnarlpine Mystic	Teldrassil			foreverchanges, letto da wowhead
1251742	250989	Recipe: Lesser Mender's Potion	drop	Theramore Preserver | Stormscale Siren	The Barrens | Darkshore			foreverchanges, letto da wowhead
1251743	250990	Recipe: Mender's Potion	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1251747	250993	Recipe: Major Mender's Potion	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
1251748	250994	Recipe: Potion of Venomous Blood	vendor	Nina Surefire | Apothecary Durelle	Redridge Mountains | The Barrens	alliance | horde		foreverchanges, letto da wowhead
