profession	learnSkill	name	spellId	recipeItemId	band	sourceKind	npcName	zone	x	y	faction	bossDrop	worldDrop	trainerTitle	mobLevel	notes
alchemy	300	Elixir of the Grizzly	1250800	250387	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	300	Flask of Natural Accuracy	1293559	274277	forever											
alchemy	300	Flask of Natural Aggression	1293560	274278	forever											
alchemy	300	Flask of Natural Precision	1293561	274279	forever											
alchemy	300	Flask of Natural Swiftness	1293562	274280	forever											
alchemy		Cerulean Dye	1249630		forever											
alchemy		Discolored Healing Potion	1244646		forever											Trainer [foreverchanges 2026-09-24]
alchemy		Elixir of Minor Force	1245250		forever											
alchemy		Greater Discolored Healing Potion	1244647		forever											
alchemy		Greater Mender's Potion	1251744	250991	forever											
alchemy		Lesser Discolored Healing Potion	1244645		forever											
alchemy		Magenta Dye	1249631		forever											
alchemy		Minor Arcane Elixir	1245246		forever	vendor										quartermaster a Merchant's Favor -- 45 Merchant's Favor skill 65 to 140 [foreverchanges 2026-09-24]
alchemy		Sulfuric Acid	1249633		forever											
alchemy		Superior Discolored Healing Potion	1244648		forever											
alchemy		Viridian Dye	1249632		forever											
blacksmithing	35	Gemmed Copper Boots	1252229	251332	forever											
blacksmithing	35	Glowing Copper Boots	1252231	251334	forever											
blacksmithing	35	Strange Copper Boots	1252230	251333	forever											
blacksmithing	45	Acolyte's Chain Belt	1252265	251368	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	45	Crusader's Chain Belt	1252266	251369	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	45	Guard's Chain Belt	1252263	251366	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	45	Protector's Chain Belt	1252264	251367	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	45	Veteran's Chain Belt	1252262	251365	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	50	Azure Skyforged Chain	1301448	276955	forever											
blacksmithing	50	Azure Skyforged Wristguards	1301446	276953	forever											
blacksmithing	50	Cloudy Skyforged Chain	1301424	276931	forever											
blacksmithing	50	Cloudy Skyforged Wristguards	1301422	276929	forever											
blacksmithing	50	Rough Copper Chain Boots	1302598	277673	forever	quest										foreverchanges, letto da wowhead
blacksmithing	55	Azure Skyforged Gauntlets	1301447	276954	forever											
blacksmithing	55	Azure Skyforged Greaves	1301450	276957	forever											
blacksmithing	55	Cloudy Skyforged Gauntlets	1301423	276930	forever											
blacksmithing	55	Cloudy Skyforged Greaves	1301426	276933	forever											
blacksmithing	60	Azure Skyforged Chainmail	1301445	276952	forever											
blacksmithing	60	Azure Skyforged Legguards	1301449	276956	forever											
blacksmithing	60	Cloudy Skyforged Chainmail	1301421	276928	forever											
blacksmithing	60	Cloudy Skyforged Legguards	1301425	276932	forever											
blacksmithing	80	Acolyte's Gloves	1252260	251363	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	80	Brass Knuckles	1252351	251454	forever											
blacksmithing	80	Crusader's Gloves	1252261	251364	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	80	Guard's Chain Shirt	1252238	251341	forever											
blacksmithing	80	Guard's Gloves	1252258	251361	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	80	Protector's Gloves	1252259	251362	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	80	Veteran's Gloves	1252257	251360	forever	vendor	Gor'mak | Stondry Darkhammer	The Barrens | Three Corners, Redridge Mountains	49.8 | 10.4	29.7 | 74.8	horde | alliance					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	85	Acolyte's Boots	1252255	251358	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	85	Crusader's Boots	1252256	251359	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	85	Guard's Boots	1252253	251356	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	85	Protector's Boots	1252254	251357	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	85	Veteran's Boots	1252252	251355	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	95	Acolyte's Silvered Chain Helm	1252280	251383	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	95	Bronze Dory	1252352	251455	forever											
blacksmithing	95	Crusader's Silvered Chain Helm	1252281	251384	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	95	Guard's Silvered Chain Helm	1252278	251381	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	95	Protector's Silvered Chain Helm	1252279	251382	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	95	Veteran's Silvered Chain Helm	1252277	251380	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	100	Sterling Silver Boots	1252232	251335	forever											
blacksmithing	105	Sterling Silver Gauntlet	1252234	251337	forever											
blacksmithing	105	Sterling Silver Leggings	1252233	251336	forever											
blacksmithing	110	Acolyte's Silvered Chain Shirt	1252270	251373	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	110	Cracked Blacksmith Hammer	1317962	285289	forever											
blacksmithing	110	Crusader's Silvered Chain Shirt	1252271	251374	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	110	Guard's Silvered Chain Shirt	1252268	251371	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	110	Protector's Silvered Chain Shirt	1252269	251372	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	110	Sterling Silver Shoulders	1252235	251338	forever											
blacksmithing	110	Veteran's Silvered Chain Shirt	1252267	251370	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	125	Acolyte's Silvered Chain Leggings	1252275	251378	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	125	Crusader's Silvered Chain Leggings	1252276	251379	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	125	Guard's Silvered Chain Leggings	1252273	251376	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	125	Protector's Silvered Chain Leggings	1252274	251377	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	125	Sterling Silver Breastplate	1252236	251339	forever											
blacksmithing	125	Veteran's Silvered Chain Leggings	1252272	251375	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	130	Iron Fists	1252353	251456	forever											
blacksmithing	140	Anvil	1263041	273086	forever											
blacksmithing	145	Hard Gold Cuirass	1252282	251385	forever											
blacksmithing	150	Hard Gold Boots	1252283	251386	forever											
blacksmithing	150	Justicar's Belt	1252309	251412	forever											
blacksmithing	150	Officer's Belt	1252305	251408	forever											
blacksmithing	150	Prefect's Belt	1252308	251411	forever											
blacksmithing	150	Sentinel's Belt	1252306	251409	forever											
blacksmithing	150	Warder's Belt	1252307	251410	forever											
blacksmithing	160	Hard Gold Bracers	1252284	251387	forever											
blacksmithing	160	Steel Spear	1252354	251457	forever											
blacksmithing	165	Hard Gold Leggings	1252285	251388	forever											
blacksmithing	165	Iron Morningstar	1252355	251458	forever	vendor	Gorhak	Desolace								foreverchanges, letto da wowhead
blacksmithing	170	Hard Gold Coif	1252286	251389	forever											
blacksmithing	175	Azure Skyforged Helm	1301534	276984	forever	vendor	Archmage Alvareaux	The Silver Enclave, City of Dalaran	14.0	63.1	alliance					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	175	Azure Skyforged Pauldrons	1301535	276985	forever	vendor	Archmage Alvareaux	The Silver Enclave, City of Dalaran	14.0	63.1	alliance					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	175	Cloudy Skyforged Helm	1301526	276976	forever	vendor	Sutara Plainstalker	Mulgore			horde					foreverchanges, letto da wowhead
blacksmithing	175	Cloudy Skyforged Pauldrons	1301527	276977	forever	vendor	Sutara Plainstalker	Mulgore			horde					foreverchanges, letto da wowhead
blacksmithing	175	Hard Gold Gauntlet	1252287	251390	forever	vendor	Gorhak	Desolace								foreverchanges, letto da wowhead
blacksmithing	175	Hard Gold Pauldrons	1252288	251391	forever											
blacksmithing	175	Justicar's Gauntlet	1252319	251422	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	175	Officer's Gauntlet	1252315	251418	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	175	Prefect's Gauntlet	1252318	251421	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	175	Sentinel's Gauntlet	1252316	251419	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	175	Warder's Gauntlet	1252317	251420	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	180	Mithril Shortsword	1252356	251459	forever											ignota anche alla community [foreverchanges 2026-09-24]
blacksmithing	190	Mithril Warhammer	1252357	251460	forever	vendor	Martha Wellsworth	Riverglades								foreverchanges, letto da wowhead
blacksmithing	195	Mithril Blacksmith Hammer	1317963	285290	forever											
blacksmithing	195	Mithril Claws	1252358	251461	forever											ignota anche alla community [foreverchanges 2026-09-24]
blacksmithing	195	Mithril Claymore	1252359	251462	forever											
blacksmithing	195	Shining Mithril Breastplate	1252289	251392	forever											
blacksmithing	195	Shining Mithril Pauldrons	1252290	251393	forever											
blacksmithing	200	Justicar's Boots	1252299	251402	forever											
blacksmithing	200	Officer's Boots	1252295	251398	forever											
blacksmithing	200	Prefect's Boots	1252298	251401	forever											
blacksmithing	200	Sentinel's Boots	1252296	251399	forever											
blacksmithing	200	Shining Mithril Boots	1252291	251394	forever											
blacksmithing	200	Warder's Boots	1252297	251400	forever											
blacksmithing	210	Justicar's Pauldrons	1252329	251432	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	210	Mithril Stiletto	1252360	251463	forever											ignota anche alla community [foreverchanges 2026-09-24]
blacksmithing	210	Officer's Pauldrons	1252325	251428	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	210	Prefect's Pauldrons	1252328	251431	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	210	Sentinel's Pauldrons	1252326	251429	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	210	Warder's Pauldrons	1252327	251430	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	215	Charged Mithril Battleaxe	1252361	251464	forever											
blacksmithing	220	Shining Mithril Gauntlet	1252294	251397	forever											
blacksmithing	220	Shining Mithril Pants	1252293	251396	forever											
blacksmithing	225	Justicar's Wristguards	1252334	251437	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	225	Officer's Wristguards	1252330	251433	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	225	Prefect's Wristguards	1252333	251436	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	225	Sentinel's Wristguards	1252331	251434	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	225	Warder's Wristguards	1252332	251435	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	240	Blessed Plate Boots	1252336	251439	forever											
blacksmithing	240	Blessed Plate Pauldrons	1252335	251438	forever											
blacksmithing	240	Justicar's Sabatons	1252314	251417	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	240	Officer's Sabatons	1252310	251413	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
blacksmithing	240	Prefect's Sabatons	1252313	251416	forever	vendor	Stondry Darkhammer | Gor'mak	Three Corners, Redridge Mountains | The Barrens	10.4 | 49.8	74.8 | 29.7	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
